 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , 
9,2,1,9,15,0,1,8,122,6,19,0,0,1,5,34,20,0, 
1,1,1,0,0,0,2,0,4,1,8,0,0,2,1,1,1,0, 
114,1,102,18,190,6,131,249,484,20,8,0,1,3,19,156,176,1, 
5,6,1,4,10,0,0,61,33,5,207,0,0,0,4,18,12,0, 
23,2,1,22,820,0,7,416,673,41,8,0,2,7,1,174,115,0, 
2,1,1,1,1,0,12,0,16,2,8,0,0,12,2,4,2,0, 
6,4,2,4,78,0,4,96,87,13,88,2,0,0,3,46,23,0, 
2,1,2,0,1,0,4,0,9,2,8,0,0,4,2,2,2,0, 
11,3,2,9,105,0,9,119,250,15,40,0,0,9,13,50,64,0, 
4,3,3,1,6,1,3,3,9,4,17,0,0,1,3,5,3,0, 
6,2,3,4,105,0,5,95,95,15,68,3,0,0,6,51,25,0, 
8,2,4,4,15,0,6,0,42,6,23,6,0,0,5,14,10,0, 
5,7,1,4,3,0,0,397,42,3,124,0,0,0,3,22,14,0, 
12,3,4,8,78,0,16,143,387,13,40,6,0,10,10,125,93,0, 
1,2,1,0,136,0,15,2,53,17,41,1,0,1,17,18,19,0, 
4,2,3,1,3,0,2,0,14,3,15,0,0,2,2,4,4,0, 
63,3,36,33,351,2,30,391,624,27,42,0,1,26,25,172,148,3, 
1,1,1,1,6,1,1,0,20,4,8,0,0,1,3,5,6,0, 
1,2,1,0,1,2,0,5,0,2,19,0,0,0,2,2,0,0, 
36,2,18,23,190,2,12,3,1126,20,13,2,6,0,14,244,276,1, 
4,1,1,3,45,0,1,0,52,10,17,0,0,1,10,34,17,0, 
6,3,3,3,3,0,2,1,16,3,31,2,0,0,2,8,4,0, 
18,6,3,15,91,3,0,53,127,14,170,0,1,0,10,61,29,1, 
22,4,5,17,136,5,13,384,494,17,77,0,0,13,17,191,166,4, 
2,2,2,0,0,0,0,0,3,1,43,0,0,0,1,2,1,0, 
27,2,7,20,210,4,6,133,795,21,46,4,0,2,3,171,212,3, 
21,7,1,20,55,0,2,448,591,11,115,0,0,2,11,220,156,2, 
9,3,1,8,45,0,7,126,166,10,44,0,0,7,10,40,39,0, 
3,1,0,3,45,0,4,0,144,10,8,0,3,4,7,40,37,0, 
108,3,92,18,528,15,4,380,760,33,38,0,2,4,31,281,234,0, 
5,3,3,3,10,1,1,13,35,5,55,0,0,0,1,12,13,0, 
3,2,1,2,10,0,3,0,72,5,22,3,1,0,3,55,15,0, 
7,6,5,3,15,2,2,385,52,6,95,0,0,2,5,17,12,0, 
5,2,5,0,66,0,16,152,55,12,41,15,1,1,11,14,27,0, 
7,4,1,6,28,0,15,61,214,8,45,0,0,10,5,47,53,1, 
5,6,1,4,3,0,0,394,32,3,102,0,0,0,3,17,11,0, 
5,3,1,5,105,0,5,95,96,15,73,3,0,0,6,51,25,0, 
6,5,1,5,78,0,1,62,56,13,202,0,0,0,8,22,20,0, 
55,3,44,15,105,0,12,274,378,15,103,0,2,12,11,93,110,1, 
31,1,24,7,190,0,24,0,245,20,8,3,3,21,17,72,72,1, 
5,2,2,3,300,0,13,2,258,25,41,8,1,1,24,130,56,0, 
14,4,4,11,703,0,14,50,419,38,185,0,0,0,20,162,94,0, 
11,3,0,11,15,0,11,380,343,6,38,2,0,9,6,106,91,0, 
3,5,1,2,10,0,0,58,34,5,179,0,0,0,4,12,7,0, 
3,6,1,2,21,0,1,384,39,7,79,0,0,0,7,14,11,0, 
1,7,1,0,15,0,1,419,21,6,118,1,0,0,6,10,6,0, 
6,2,3,4,136,0,7,119,197,17,16,1,1,6,7,54,68,0, 
1,4,1,0,0,0,0,7,0,1,28,0,0,0,1,1,0,0, 
5,1,2,3,55,2,7,0,81,11,28,7,0,0,5,29,21,0, 
6,5,4,2,10,1,1,388,45,5,78,0,0,1,5,13,16,0, 
55,4,32,32,1275,1,15,49,1461,51,148,8,2,7,43,446,456,6, 
14,3,1,13,15,0,3,19,167,6,67,0,4,3,1,51,36,0, 
13,1,8,6,45,1,2,0,151,10,8,0,3,2,6,53,53,0, 
1,1,1,0,3,0,1,0,11,3,8,0,0,0,3,3,3,0, 
3,3,1,2,3,0,1,3,27,3,17,0,1,1,1,7,8,0, 
15,3,8,9,595,0,23,97,319,35,84,11,0,0,18,156,81,0, 
2,5,1,2,10,0,2,61,50,5,49,0,1,1,1,10,15,1, 
3,7,1,2,28,0,0,398,25,8,107,0,0,0,8,10,8,0, 
8,3,2,7,28,0,2,52,69,8,27,0,0,1,5,24,25,1, 
5,1,1,4,36,0,3,0,109,9,16,0,2,3,7,30,31,0, 
35,1,32,3,55,16,0,0,85,11,8,0,0,0,0,16,21,0, 
7,6,2,5,10,0,0,385,35,5,95,0,0,0,4,24,11,0, 
16,1,11,5,10,0,3,0,62,5,8,1,0,2,5,18,22,0, 
13,2,1,13,15,0,1,8,207,6,19,0,0,1,5,58,30,0, 
3,1,1,2,36,0,4,0,83,9,8,0,1,4,8,24,25,0, 
7,2,4,3,6,17,4,0,18,4,22,3,0,0,4,10,5,0, 
19,3,0,19,15,0,21,380,451,6,38,11,0,10,6,172,84,2, 
1,1,1,0,55,1,0,0,43,11,8,0,0,0,0,11,11,0, 
13,2,1,12,1,0,0,270,166,2,48,0,0,0,2,42,29,1, 
8,2,1,7,28,0,7,141,264,8,35,0,0,7,5,85,63,0, 
6,3,1,5,6,0,2,135,107,4,67,0,0,2,2,24,49,0, 
11,4,6,6,15,0,2,49,64,6,148,0,0,2,2,18,18,0, 
17,3,2,15,21,0,2,25,83,7,82,0,0,0,3,49,20,0, 
8,1,3,5,10,1,10,0,140,5,8,0,0,4,4,37,48,1, 
8,5,0,8,21,0,2,412,70,7,94,0,0,2,7,39,18,1, 
1,2,1,0,1,0,3,0,11,2,11,0,0,3,1,2,4,0, 
5,2,1,4,10,0,4,0,27,5,22,4,0,0,4,12,7,0, 
4,3,1,3,66,0,3,95,59,12,73,2,0,0,3,35,16,0, 
1,4,1,0,0,0,5,6,0,1,21,0,0,5,1,1,0,0, 
2,4,1,1,3,0,0,410,12,3,66,0,0,0,3,5,3,0, 
20,2,20,0,10,5,7,380,35,5,27,0,0,7,5,10,10,0, 
11,2,2,9,45,0,8,0,108,10,18,0,0,8,9,51,34,0, 
3,1,2,1,3,0,5,0,25,3,8,0,0,5,1,5,7,0, 
9,3,1,8,10,0,0,22,90,5,78,0,1,0,0,34,30,0, 
11,1,1,10,55,0,1,0,377,11,8,1,7,0,4,89,80,2, 
6,1,6,0,1,5,0,0,0,2,8,0,0,0,2,2,0,0, 
4,2,1,3,10,2,2,141,23,5,35,0,0,2,5,13,6,0, 
4,3,2,2,36,0,1,95,31,9,75,1,0,0,1,19,9,0, 
6,7,2,4,3,2,2,419,30,3,115,0,0,2,3,12,8,0, 
9,3,8,1,28,2,1,380,31,8,38,0,0,1,8,14,11,0, 
5,1,1,5,10,0,11,0,140,5,16,3,1,8,4,28,25,0, 
6,3,1,5,91,0,5,95,86,14,73,3,0,0,4,48,22,0, 
4,2,1,4,21,0,1,68,67,7,33,0,0,0,4,18,25,1, 
20,6,4,18,378,1,1,69,222,28,227,0,0,0,22,126,57,0, 
28,2,1,28,36,0,4,17,423,9,19,0,3,0,3,149,56,0, 
2,2,1,1,1,0,0,219,10,2,55,0,0,0,2,3,3,1, 
4,3,1,3,6,0,5,1,33,4,31,5,0,0,4,9,7,0, 
6,3,1,6,171,0,10,95,136,19,73,6,0,0,9,72,38,0, 
6,4,1,5,3,0,0,393,41,3,61,0,0,0,3,18,14,0, 
6,1,1,5,1,0,1,114,131,2,9,1,0,0,2,38,24,0, 
8,5,1,7,45,0,5,55,210,10,171,0,0,5,10,70,47,0, 
7,3,4,4,10,1,1,37,34,5,72,0,0,0,5,13,6,0, 
38,4,17,23,28,5,4,396,241,8,57,0,0,4,8,105,87,0, 
6,1,3,3,15,0,9,0,116,6,8,1,0,6,6,34,31,0, 
5,3,1,4,91,0,5,95,98,14,73,3,0,0,5,49,24,0, 
2,4,1,1,3,0,1,61,17,3,45,0,0,0,1,7,4,1, 
12,2,1,11,105,0,5,0,163,15,19,1,4,1,3,88,35,0, 
22,3,7,15,630,0,23,8,724,36,37,23,8,0,28,210,246,0, 
10,2,3,7,28,0,1,0,46,8,18,0,0,1,8,25,12,0, 
11,4,1,11,55,1,0,52,63,11,127,0,0,0,6,34,22,0, 
6,2,1,6,105,0,5,95,91,15,68,3,0,0,5,50,23,0, 
8,1,7,1,45,0,4,0,34,10,8,0,0,4,10,12,14,0, 
3,2,1,2,120,0,5,11,123,16,18,0,0,0,16,43,31,1, 
7,1,4,4,15,0,3,0,56,6,8,3,0,0,6,16,19,0, 
13,1,9,4,1,1,6,0,14,2,23,1,0,5,2,11,5,0, 
6,3,1,5,91,0,5,95,106,14,73,3,0,0,5,54,27,0, 
6,1,2,5,78,0,10,0,393,13,8,0,1,9,4,67,102,0, 
4,3,1,3,28,0,7,1,50,8,36,7,0,0,7,23,13,0, 
16,4,3,13,15,0,2,384,195,6,69,0,0,2,6,75,56,0, 
1,3,1,0,1,0,0,384,9,2,31,0,0,0,2,5,2,0, 
3,2,3,0,66,0,1,152,37,12,41,1,1,0,11,14,12,0, 
5,2,1,5,36,0,1,68,124,9,33,0,0,0,5,30,44,0, 
3,2,3,0,3,6,1,2,6,3,14,0,0,0,3,3,2,0, 
0,7,0,0,1,0,2,388,7,2,87,0,0,0,2,2,2,0, 
1,2,1,1,21,0,2,68,74,7,33,0,0,2,4,17,25,0, 
4,1,2,2,55,0,4,0,118,11,8,0,2,4,9,33,36,0, 
26,2,1,26,190,0,4,68,526,20,33,1,4,1,5,176,175,3, 
2,1,2,0,10,0,4,0,18,5,16,4,0,0,5,5,5,0, 
1,2,1,0,0,0,0,11,3,1,47,0,0,0,1,1,1,0, 
3,3,1,2,66,0,3,95,60,12,73,2,0,0,3,35,16,0, 
15,2,2,13,15,1,4,18,223,6,62,0,0,4,2,104,46,1, 
18,2,7,11,136,4,4,18,165,17,62,0,1,0,2,81,56,0, 
5,1,3,2,3,0,2,0,77,3,8,2,0,0,3,12,12,1, 
7,7,1,6,15,1,0,386,38,6,97,0,0,0,6,17,10,1, 
15,1,10,6,120,1,10,0,383,16,16,2,0,2,13,122,93,0, 
6,2,0,6,21,0,16,0,142,7,11,7,2,9,3,23,39,0, 
62,4,58,5,105,0,4,97,124,15,79,3,0,0,4,47,32,0, 
4,1,2,2,21,0,12,14,233,7,8,0,1,12,6,32,24,0, 
25,1,7,21,465,0,14,0,661,31,0,0,15,13,11,319,196,0, 
7,4,1,7,136,0,5,99,98,17,100,1,0,0,1,57,26,0, 
3,1,1,2,45,0,4,0,64,10,8,0,0,4,10,20,18,0, 
17,1,4,13,66,1,6,48,144,12,11,0,4,1,5,54,38,1, 
6,3,1,5,91,0,5,95,107,14,73,3,0,0,5,53,27,0, 
1,1,1,0,10,2,0,5,12,5,14,0,0,0,5,5,4,0, 
22,1,5,18,55,2,5,0,242,11,8,0,0,0,3,89,51,0, 
23,5,13,11,28,2,1,397,132,8,64,1,0,0,8,56,38,0, 
10,2,1,9,36,0,5,0,186,9,11,5,7,0,2,44,32,0, 
9,2,0,9,66,0,5,2,89,12,41,3,1,2,11,54,26,0, 
2,2,1,2,496,0,2,8,145,32,46,0,0,2,31,68,43,0, 
12,3,2,11,36,0,1,5,155,9,21,1,0,0,9,60,40,0, 
1,4,1,0,3,1,0,37,9,3,85,0,0,0,1,3,3,0, 
1,1,1,0,45,0,3,0,55,10,8,0,1,3,9,27,18,0, 
61,1,44,17,171,0,6,12,513,19,8,2,1,0,18,143,120,1, 
1,2,0,1,1,0,1,1,9,2,18,0,0,1,2,6,4,0, 
20,4,5,15,300,0,7,52,222,25,129,0,3,7,16,78,55,1, 
21,3,7,15,28,4,2,408,198,8,58,0,0,2,8,59,69,2, 
5,8,4,2,15,0,1,82,26,6,319,1,0,0,5,11,7,0, 
1,1,1,0,0,0,2,0,4,1,8,0,0,2,1,1,1,0, 
11,4,3,8,28,0,0,28,62,8,91,0,1,0,2,35,16,0, 
12,2,1,11,21,0,0,5,156,7,19,0,5,0,2,61,31,0, 
9,1,0,9,1225,0,107,114,3449,50,20,2,3,44,41,374,1169,0, 
16,3,12,4,45,0,3,380,97,10,38,0,0,3,10,32,30,0, 
102,1,17,90,1431,0,27,0,1531,54,9,2,4,24,19,572,419,5, 
26,3,10,17,105,2,13,380,364,15,46,0,0,9,14,127,104,1, 
12,3,9,3,66,0,3,95,72,12,76,2,0,0,3,37,19,0, 
11,1,5,7,120,0,28,0,258,16,8,6,3,19,13,65,50,0, 
3,2,2,1,1,0,1,1,9,2,18,0,1,1,1,5,3,0, 
6,1,3,3,3,0,2,0,27,3,8,2,0,0,3,13,7,0, 
3,1,2,2,10,0,2,0,30,5,8,0,1,1,4,10,8,0, 
4,2,1,3,6,0,5,1,17,4,11,0,0,5,4,7,4,0, 
39,1,1,39,666,0,50,23,2557,37,8,6,5,36,20,917,659,2, 
6,6,0,6,36,0,6,415,266,9,117,0,1,4,8,64,47,0, 
5,3,3,2,3,0,3,1,22,3,31,3,0,0,3,6,5,0, 
4,1,1,3,1,0,2,0,12,2,8,2,1,0,1,5,2,0, 
5,2,2,3,3,0,0,8,30,3,19,0,0,0,3,10,9,0, 
43,4,22,23,496,0,2,51,235,32,157,0,2,2,22,118,79,1, 
39,3,32,10,253,3,1,34,251,23,24,0,0,1,23,64,74,3, 
3,4,1,2,6,0,1,35,24,4,47,0,0,1,4,8,6,0, 
2,3,1,1,1,0,0,387,12,2,32,0,0,0,2,7,4,0, 
2,5,1,1,1,0,0,400,10,2,65,0,0,0,2,4,2,0, 
3,2,3,0,6,0,3,28,13,4,16,1,0,2,3,4,4,0, 
8,2,4,4,10,0,1,18,35,5,62,0,0,0,4,15,12,0, 
1,4,1,0,6,0,3,3,13,4,38,3,0,0,4,4,4,1, 
19,7,1,18,78,0,2,426,551,13,124,0,0,2,13,226,140,2, 
18,3,1,17,276,0,8,135,768,24,67,0,4,6,2,169,207,0, 
5,3,3,2,28,0,1,95,29,8,73,1,0,0,1,18,8,0, 
4,2,2,2,3,0,2,0,14,3,15,2,0,0,2,5,5,0, 
12,1,10,2,15,0,2,0,28,6,10,0,0,0,6,12,8,0, 
48,7,10,43,1540,1,5,81,698,56,263,4,0,0,51,367,177,1, 
1,2,1,0,0,0,0,2,3,1,33,0,0,0,1,1,1,0, 
3,3,1,2,3,0,3,1,21,3,31,3,0,0,3,5,5,0, 
0,1,0,0,20706,0,0,0,612,204,212,0,0,0,204,204,204,1, 
8,5,4,4,91,3,0,384,78,14,77,0,0,0,14,29,21,0, 
24,1,6,19,120,3,17,11,407,16,9,0,0,16,9,125,73,1, 
28,1,18,11,351,4,16,125,379,27,8,0,0,5,24,92,108,2, 
4,7,1,3,3,0,2,397,36,3,124,0,0,2,3,20,9,0, 
12,2,1,11,15,0,2,18,120,6,62,0,0,2,1,49,26,0, 
9,4,0,9,6,0,0,384,72,4,41,0,0,0,4,28,16,0, 
7,2,4,4,171,0,15,119,238,19,16,1,1,5,11,62,86,0, 
23,2,4,20,276,1,9,3,305,24,25,0,4,0,17,135,86,0, 
4,3,1,3,6,0,1,388,80,4,33,0,1,1,3,11,27,0, 
2,3,1,1,3,0,3,1,23,3,31,3,0,0,3,5,5,0, 
12,3,4,9,45,1,3,3,110,10,17,0,2,0,2,37,30,0, 
9,2,4,5,66,1,3,0,92,12,13,1,0,0,6,61,29,0, 
6,3,1,5,136,0,9,95,117,17,73,5,0,0,7,61,29,0, 
13,1,0,13,351,0,45,131,2262,27,8,40,24,5,3,368,449,0, 
150,1,135,18,1830,19,102,0,657,61,8,7,1,2,26,209,206,0, 
2,1,1,1,45,1,11,0,48,10,8,0,0,0,0,11,12,1, 
11,3,0,11,15,0,6,380,192,6,38,0,0,6,6,69,45,0, 
7,3,1,6,105,0,3,95,220,15,73,2,0,0,5,85,57,1, 
4,1,3,1,10,0,4,0,47,5,8,0,0,4,5,11,17,0, 
13,1,12,1,6,0,0,0,40,4,8,0,0,0,4,8,4,0, 
39,1,4,36,190,0,5,0,712,20,8,4,2,1,15,211,148,1, 
3,1,1,2,1,0,0,0,23,2,8,0,1,0,1,16,7,0, 
6,2,3,4,45,1,4,58,121,10,24,4,0,0,1,51,50,0, 
2,2,1,1,1,0,3,28,24,2,25,0,0,3,2,4,2,0, 
2,1,1,1,10,0,3,0,27,5,8,3,0,0,5,8,8,0, 
32,6,10,22,210,5,5,414,787,21,94,0,0,3,21,277,253,6, 
38,3,27,16,595,6,0,35,327,35,83,0,0,0,19,177,92,0, 
8,3,8,0,1,0,2,37,8,2,72,1,0,1,2,2,4,0, 
2,6,2,1,3,0,2,68,13,3,210,2,0,0,3,5,3,0, 
4,2,1,3,36,0,3,3,48,9,27,2,0,0,0,25,12,0, 
4,1,1,3,15,0,3,0,88,6,8,3,0,0,6,17,32,0, 
16,1,9,7,276,1,7,0,276,24,16,0,0,0,16,79,49,0, 
2,6,2,0,0,0,2,67,7,1,58,0,0,0,1,2,1,1, 
25,1,23,2,55,0,4,0,127,11,16,0,1,4,10,31,45,0, 
23,4,18,5,21,0,2,49,48,7,148,1,0,1,7,23,13,0, 
24,5,11,13,45,4,1,52,178,10,161,0,1,0,5,82,34,0, 
2,4,2,0,1,0,1,6,4,2,25,0,0,1,1,2,1,0, 
41,1,9,33,210,0,19,0,426,21,8,15,5,0,15,170,89,1, 
1,6,1,0,10,1,1,11,12,5,47,0,0,0,4,5,4,0, 
17,1,15,2,15,2,2,0,47,6,8,0,0,1,5,13,13,0, 
6,2,4,2,28,0,2,5,59,8,13,2,0,0,8,26,15,0, 
10,6,1,9,15,0,2,415,230,6,117,0,0,2,6,87,56,0, 
7,2,1,6,1,0,0,52,35,2,25,0,0,0,2,14,6,1, 
2,3,1,1,66,0,3,95,59,12,73,2,0,0,3,33,16,0, 
11,2,5,6,45,0,4,1,68,10,12,0,0,4,8,38,15,0, 
2,1,2,0,3,0,5,0,10,3,16,2,0,0,3,3,3,0, 
13,3,1,12,300,0,3,170,495,25,67,1,2,2,4,130,129,5, 
8,1,6,2,21,3,2,0,44,7,8,2,0,0,6,20,14,0, 
87,2,72,21,276,2,12,262,546,24,80,0,1,9,19,157,169,1, 
84,1,68,30,703,0,27,140,1069,38,8,11,3,10,27,312,321,3, 
17,2,10,7,120,6,3,95,74,16,68,1,0,2,7,38,19,0, 
4,3,1,3,120,0,7,95,141,16,73,4,0,0,7,65,35,0, 
25,3,17,11,45,2,9,34,177,10,24,0,1,6,9,41,49,0, 
51,1,36,17,1431,14,18,0,528,54,8,0,0,1,16,244,141,0, 
31,3,2,29,171,1,3,34,516,19,78,0,12,0,1,278,125,1, 
7,3,4,3,190,0,7,95,127,20,82,4,0,0,7,63,33,0, 
4,3,3,2,21,0,1,7,46,7,22,0,0,1,4,15,12,0, 
16,3,2,14,36,0,2,22,102,9,78,0,2,0,1,61,26,0, 
8,5,1,7,6,0,0,397,65,4,94,0,1,0,3,25,24,0, 
14,2,11,6,136,1,6,153,136,17,16,0,3,6,7,54,45,4, 
14,1,0,14,6,0,6,0,121,4,9,5,2,1,2,59,32,0, 
6,2,4,2,105,0,24,95,70,15,68,3,0,0,5,40,19,0, 
23,2,15,9,666,0,16,95,344,37,68,12,0,1,21,120,100,0, 
5,3,1,4,66,0,3,95,72,12,73,2,0,0,3,39,19,0, 
13,2,2,12,91,0,11,1,112,14,12,3,2,6,9,50,36,0, 
24,3,19,7,276,0,6,40,190,24,71,0,0,5,24,70,61,0, 
4,1,3,1,45,0,276,0,177,10,8,1,0,0,10,26,41,2, 
10,4,1,9,15,0,2,384,66,6,69,0,1,2,5,32,20,0, 
15,4,2,14,741,0,4,50,328,39,176,0,0,0,13,195,85,0, 
8,1,6,2,45,0,4,0,117,10,16,0,1,4,9,24,30,0, 
0,1,0,0,1,1,5,0,0,2,8,0,0,0,2,2,0,0, 
78,3,2,76,21115,0,94,427,4390,206,96,1,27,23,28,1156,1148,1, 
4,3,1,4,28,0,0,69,65,8,37,0,1,0,2,21,27,1, 
7,3,5,2,78,0,13,95,59,13,76,3,0,0,4,31,16,0, 
5,2,4,1,66,0,1,152,39,12,41,1,1,0,11,14,13,0, 
3,1,1,2,6,0,2,14,17,4,11,0,0,2,4,9,5,0, 
21,2,11,11,1378,4,24,7,482,53,35,0,1,0,21,194,125,0, 
9,2,4,6,66,2,2,0,57,12,5,0,0,0,10,30,20,0, 
0,7,0,0,1,0,2,386,7,2,86,0,0,0,2,2,2,0, 
9,2,1,9,21,0,0,19,255,7,15,0,1,0,0,77,39,0, 
4,3,1,4,105,0,5,95,109,15,73,3,0,0,6,55,28,0, 
1,3,1,0,1,0,1,23,7,2,28,1,0,0,2,3,2,0, 
2,2,1,1,36,0,3,0,42,9,11,1,3,2,5,21,11,0, 
13,4,7,6,55,1,2,52,57,11,127,0,0,0,9,31,16,0, 
6,2,2,4,91,0,14,13,131,14,31,14,0,0,13,37,29,0, 
1,1,1,0,0,0,5,0,3,1,23,1,0,4,1,1,1,0, 
12,3,8,4,15,2,2,95,22,6,73,0,0,1,4,13,6,0, 
6,1,5,1,66,0,1,17,136,12,0,1,0,0,5,66,51,0, 
7,5,1,6,55,0,1,384,91,11,87,0,0,1,7,38,25,0, 
4,1,1,3,28,0,3,0,94,8,16,0,1,3,7,18,24,0, 
14,1,12,2,3,0,18,0,80,3,8,18,0,0,3,11,24,0, 
14,3,1,13,153,0,0,8,104,18,46,0,0,0,15,65,21,0, 
3,2,1,2,28,0,7,0,51,8,25,7,0,0,7,13,12,0, 
5,1,5,0,28,3,6,78,27,8,8,0,0,0,4,12,7,0, 
14,2,1,13,2080,1,4,402,681,65,8,1,0,3,2,237,223,0, 
6,3,3,3,66,0,3,95,71,12,73,2,0,0,3,37,19,0, 
3,1,3,0,45,0,0,0,0,10,8,0,0,0,10,10,0,0, 
1,3,1,0,1,0,1,37,7,2,72,0,0,1,2,2,2,1, 
4,3,1,3,91,0,5,95,109,14,73,3,0,0,5,51,27,0, 
1,6,0,1,3,0,2,386,13,3,85,0,0,2,3,7,3,0, 
9,2,0,9,21,0,1,33,103,7,82,0,1,0,2,36,30,0, 
47,4,27,27,903,2,3,59,554,43,160,0,1,0,27,273,134,1, 
3,1,0,3,3,0,1,0,19,3,8,0,2,0,1,8,6,0, 
33,4,19,16,45,3,5,384,357,10,69,1,1,3,9,94,118,1, 
7,6,2,5,15,1,4,394,87,6,107,0,0,4,5,34,25,1, 
6,7,1,5,3,0,0,419,40,3,115,0,0,0,3,23,15,0, 
22,1,6,16,903,0,12,0,474,43,8,5,13,4,30,273,133,0, 
6,3,1,5,21,0,0,380,32,7,38,0,0,0,7,17,9,0, 
50,1,18,37,1891,1,22,249,6113,62,8,1,22,17,39,1095,1042,6, 
18,1,2,17,55,0,8,0,469,11,8,0,5,8,6,159,108,1, 
6,5,1,5,36,3,2,384,72,9,76,0,0,2,9,29,19,0, 
36,1,30,7,861,0,54,0,841,42,8,12,16,0,26,294,225,1, 
4,4,1,4,10,0,1,14,26,5,59,1,0,0,1,12,13,0, 
5,2,2,3,136,0,9,219,191,17,55,7,1,1,16,30,53,0, 
6,2,6,1,28,6,0,95,24,8,68,0,0,0,7,10,8,0, 
0,1,0,0,91,0,0,0,42,14,22,0,0,0,14,14,14,0, 
6,1,6,0,0,0,1,0,3,1,22,1,0,0,1,1,1,0, 
5,1,1,4,6,0,2,0,51,4,8,2,1,0,3,15,15,0, 
47,1,38,9,1225,4,107,114,3449,50,8,2,3,44,41,374,1169,1, 
12,5,5,7,36,0,4,400,81,9,65,0,0,4,9,32,23,0, 
11,3,5,7,171,0,10,95,155,19,73,6,0,0,7,75,40,0, 
2,5,2,0,0,0,2,83,7,1,57,0,0,0,1,2,1,1, 
141,1,137,4,561,0,3,0,845,34,8,0,0,0,34,91,262,0, 
6,2,1,5,21,0,1,10,136,7,15,1,0,0,1,32,39,0, 
16,2,1,15,171,0,10,52,707,19,25,10,16,0,3,221,191,0, 
40,2,22,21,253,0,23,391,536,23,31,5,2,18,21,128,174,2, 
2,6,1,1,10,0,0,415,28,5,93,0,0,0,5,12,8,0, 
4,3,1,3,15,0,1,9,20,6,42,1,0,0,5,11,6,0, 
5,2,1,5,10,0,1,68,69,5,33,0,0,0,4,30,35,1, 
51,1,50,3,703,2,8,0,66,38,8,0,0,1,38,60,20,0, 
15,3,12,3,55,0,3,95,47,11,73,2,0,0,2,29,13,0, 
6,2,3,4,136,0,8,95,121,17,68,5,0,0,7,60,31,0, 
12,1,1,11,10,0,3,0,145,5,8,0,2,3,3,62,43,1, 
8,6,2,6,28,0,5,385,71,8,95,0,1,2,7,34,20,0, 
